File Name,User,License,License Link,Usage
baby_voice6.wav,reinsamba,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
Female Baby cry,vemeswar,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
JM_HUMAN_Baby 01c - Crying.wav,Julien_Matthey,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
JM_HUMAN_Baby 01b - Crying.wav,Julien_Matthey,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
baby cry.wav,nektaria909,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
baby cry next door.WAV,klankbeeld,Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Original, Altered"
baby girl crying,josephvm,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
01014 baby girl crying 6.wav,Robinhood76,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Baby Cry Angry.wav,Stevious42,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
baby cry loop.wav,gumballworld,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
Baby Whines Cries Huf PE145601,gumballworld,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
Baby Crying,panikko,Attribution-NonCommercial 4.0 International,https://creativecommons.org/licenses/by-nc/4.0/,"Original, Altered"
Baby Cry.wav,Stevious42,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
Baby Cry.wav,deleted_user_2104797,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
Baby Cry 2.wav,Stevious42,Attribution 3.0 Unported,https://creativecommons.org/licenses/by/3.0/,"Original, Altered"
baby newborn cry2.wav,gumballworld,Attribution-NonCommercial 3.0 Unported,https://creativecommons.org/licenses/by-nc/3.0/,"Original, Altered"
Crying baby 1,MBPL,CC0,https://creativecommons.org/public-domain/cc0/,"Original, Altered"
